Designator,Mid X,Mid Y,Rotation,Layer
C1,70.5866,-52.6516,270.0,top
C2,94.4118,-53.0326,270.0,top
C3,111.28,-58.8518,0.0,top
C4,137.8178,-59.0296,0.0,top
C5,37.2846,-43.2816,180.0,bottom
C6,37.3354,-44.5008,180.0,bottom
C7,45.4686,-62.2958,0.0,bottom
C8,40.7898,-63.007,0.0,bottom
J1,155.1386,-53.0,270.0,bottom
J2,51.308,-48.3108,0.0,top
R1,69.2122,-52.6554,270.0,top
R10,48.6664,-57.294,270.0,bottom
R2,92.6846,-52.961,270.0,top
R3,108.8898,-58.8772,180.0,top
R4,135.6848,-59.0296,180.0,top
R5,47.3456,-46.607,270.0,bottom
R6,49.7586,-46.599,270.0,bottom
R7,43.2562,-44.8076,270.0,bottom
R8,43.6372,-62.5244,270.0,bottom
R9,42.6466,-62.5224,270.0,bottom
U1,85.6216,-52.9844,0.0,top
U10,40.3805,-44.2316,0.0,bottom
U3,61.7456,-53.0,0.0,top
U5,108.841668,-51.85,270.0,top
U7,135.5852,-52.0464,270.0,top
U9,37.592,-54.6,270.0,bottom
